,Url,Namn,Alt. namn,Byggår och arkitekt,Alternativt namn,Annexskolor,Adress,Arkiv på Stadsarkivet,Rektorsområde,Arkiv hos övriga,Historik
772,Visa/distra-irs-bagenskolan/3cf9cb34-88f0-4ab1-a35f-949b46682914,"Distra IRS, Bågenskolan","Bågenskolan / Distra resursskola Bågen / Distra IRS Bågenskolan / Bågenskolan, Distra IRS",,,,"2012-2014 Fatburs Brunnsgata 17(-19)
2014-? Högbergsgatan 18
2018- Ringvägen 85",,,,"Fristående grundskola åk 6-9

Upptas fg i katalog 2012 som Bågenskolan. I lista över friskolor 2012 från Utbildn.förv. som  Distra resursskola Bågen.
I katalog 2013 under namnet Bågenskolan, Distra IRS.
I katalog 2014 anges ""Endast för elever i behov av särskilt stöd"" och på ny adress. 
I katalog 2015 åter enbart Bågenskolan.
I lista över grundskolor 2016 under namnet Distra IRS, Bågenskolan."
773,Visa/clara-strombergs-skola/1ccbc121-96d3-447d-b2ca-94a5ca72f4a9,Clara Strömbergs skola,,,,,,,,,"Privat flickskola

Grundad 18xx av Clara Strömberg (1836-1898).
Uppgick 1881 i Atheneum för flickor  - se vidare denna."
774,Visa/hokarangens-odro--1950-1991/34670c3f-6eed-4d1e-aae7-94f616b76739,Hökarängens öd/ro  1950-1991,,,,,,,,,
775,Visa/stieberths-skola/4adf433b-4d88-4cba-a7af-950101b98b35,Stieberths skola,Qvatimoskolan,,,,se Historik mm !,,,,"Fristående grundskola åk 1-3 (Montessoriinspirerad)

Öppnad x, namnbyte ht 2001 till Stieberths skola. Ägs av Vittra Utbildning. Upptas ej i katalog 2008; nedlagd efter vt 2008?; sammanslagen med Vittra på Södermalm?

Adress:
    -2005 Fatbursbrunnsgata 16
2005-2008 Timmermansgatan 12"
776,Visa/nya-lararinneseminariet/5d4a3ba6-d481-41a2-acda-9501931f4a22,Nya lärarinneseminariet,Privatskoleseminariet / Lägre lärarinneseminariet,,,,,,,,"Privat lärarinneseminarium

Grundat 1896 av Alma Detthow (1855-1937). Utbildade lärarinnor för småskolan (förberedande avd.) samt för de lägsta klasserna inom flickskolan. Nedlagt 1912. Som övningsskola till seminariet grundades Detthowska skolan - se vidare denna ! Se även Detthowska småskoleseminariet."
777,Visa/engelbrekts-privata-skola/481a65da-5a6d-487d-9187-957342e6a271,Engelbrekts privata skola,,,,,,,,,Privatskola
778,Visa/thorn-framtid/c6381de7-cac6-4e88-9fa0-9634177e09df,Thorén Framtid,,,,,Vinthundsvägen 159 A,,,,"Fristående grundskola åk1-9

Upptas fg i katalog 2013 men ej i 2014 och saknas på hemsidan; aldrig öppnad?"
779,Visa/maria-magdalena----/c4b38250-dc46-4aa4-8a6d-96bb4a51d37b,Maria Magdalena . . . .,,,,,,,,,se Maria  . . . . !
780,Visa/fredhalls-od--1944-1956/0e7113ba-cdbc-4919-bc1c-96e8b9bb6766,Fredhälls öd  1944-1956,,,,,,,,,"Huvudskola: 
Fredhällsskolan 1944-1956"
781,Visa/rodabergsskolan/ba0a4574-cf73-494a-b3db-96ea73747374,Rödabergsskolan,,,,,Upplandsgatan 100,,,,"Grundskola åk F-9 (0-6  2000-).
Internationella engelskspråkiga klasser.

Byggd för Vasastadens kommunala flickskola som upphörde 1968 - se denna.
Öppnad 1968 som Rödabergsskolan, nedlagd 1972. Byggnaden därefter använd av skolförvaltningen för administration. 

Återöppnad som grundskola 1991 som egen enhet.
Tillhörde Norrmalms Sdn 1997-vt 2007."
782,Visa/vega-resursskola/93468171-d289-4109-bf7b-970650a596bb,Vega resursskola,Kista skoldaghem / Vegaskolan - skoldaghem,,,,se Historik mm !,,,,"Specialskola: Grundskola åk 1-6

Öppnades 1993. Flera namnbyten och adresser, nedlagd efter vt 2004.

Namn:
1993-1996 Kistagårds skoldaghem 
1996-1999 Kista skoldaghem
1999-2000 Vegaskolan - skoldaghem
2001-2004 Vega resursskola

Adresser:
1993-1995 Oddegatan 14
1995-1999  Langelandsgatan 25-27
1999-2003  Vegagatan 12
2003-2004  Sveavägen 59, 6tr

OBS ! 
Skoldaghemmet har inget gemensamt med verksamheten med namnet Kistagårds skoldaghem bedriven 1987-1990 under Husby ro !"
783,Visa/rackstaskolan/b9162f0a-3fae-437c-9e4c-970c4f41be49,Råckstaskolan,,,,,,,,,Tidigare namn - Skolan för psykiatrisk vårdutbildning.
784,Visa/kungsholmens-enskilda-laroverk/b6d4bfa7-0de1-4a5d-aefa-979d07f90bad,Kungsholmens enskilda läroverk,Kungsholms enskilda läroverk,,,,se Historik mm !,,,,"Privat gymnasium

Enligt en uppgift läroverk för flickor, enligt en annan samskola.
Även grundläggande handelslinje.

Adress:
1911      Kungsholmsgatan 2 B
1912-1940 Hantverkargatan 8
1941-1967 Kungsholmstorg 4 (Kungsholms elementarskola för flickor tidigare i byggnaden)."
785,Visa/amu-center-jakobsberg/b4ff3e71-c212-468b-a155-97afedf2f898,AMU-center Jakobsberg,,,,,,,,,"AMU = Arbetsmarknadsutbildning
Statlig utbildning / omskolning för vuxna"
786,Visa/nikolai-forsamlings-hantverksskola/71d2db40-a5a8-438b-9e02-98322f195d13,Nikolai församlings hantverksskola,Storkyrkoförsamlingens gesäll- och hantverksskola / Storkyrkoförsamlingens söndagsskola / Storkyrkoförsamlingens gesäll- och lärlingsskola,,,,,,,,"Grundades 1806 av kyrkoherde Gustav Murray som en söndagsskola för hantverksgesäller och lärlingar i Storkyrkoförsamlingen.
En annan uppgift talar om att doktor Johan Niclas Brandt 1805 fått tillstånd att öppna en sk söndagsskola för hantverkslärlingar och gesäller inom Storkyrkoförsamlingen. 
I början bedrev han själv undervisningen och stod ensam för omkostnaderna. Han föreslog 1812 att liknande söndagsskolor borde inrättas i andra församlingar i Stockholm. (Jämför Klara söndagsskola . . .  ).
Andra namn var Storkyrkoförsamlingens söndagsskola, Storkyrkoförsamlingens gesäll- och lärlingsskola. 
Sammanslogs med Stockholms Borgarskola som öppnade en avdelning i Gamla stan 1848."
787,Visa/stockholms-folkskolors-polikliniker-for-tandsjukdomar/d21d6fa1-9fa1-4561-9723-983bbdb53932,Stockholms folkskolors polikliniker för tandsjukdomar,Skoltandvård,,,,,,,,"Skoltandvård bedrevs i Stockholm from 1907 - 
se Engelbrektsskolan. 
1913 beslutades att alla skolbarn skulle få tandvård - 
fler polikliniker vid skolor inrättades.
From 1/5 1949 under Stockholms stads tandvårdsstyrelse. 
Upphörde 19xx ute i skolorna."
788,Visa/lararhogskolan-i-stockholm-yrkestekniska-linjenyrkespedagogiska-linjen-i-1972-1977/fc4216ae-a924-4f05-9973-984d497b41ed,"Lärarhögskolan i Stockholm, Yrkestekniska linjen/Yrkespedagogiska linjen I 1972-1977",,,,,,,,,"Lärarhögskola

Utbildningslinje verksam 1972-1977.

Ht 1972 inordnades det tidgare fristående Yrkespedagogiska institutet i Stockholm / Solna (se d:o) i Lärarhögskolan i Stockholm som Yrkestekniska linjen; from ht 1976 med namnet Yrkespedagogiska linjen.

I samband med högskolereformen 1977 fortsatte utbildningen men med ny arkivbildning. För att hålla isär dessa båda används beteckningarna I och II. Det senare arkivet har ej levererats till SSA."
789,Visa/sveaplans-gymnasium/891be559-ac7a-4996-be69-989d5925d9c0,Sveaplans gymnasium,Högre allmänna läroverket för flickor å Norrmalm,,,,Sveavägen 158,,,,"Gymnasium, Grundskola åk 7-9 1962-1968

Fd Högre allmänna läroverket för flickor å Norrmalm - se d:o.
Namnändring 1967 till Sveaplans gymnasium, nedlagt 1970.
Därefter Sveaplans vuxengymnasium i byggnaden - se d:o.
Byggnaden numera använd av Stockholms universitet."
790,Visa/olympen-svea-torn-grundskola-/3c80ebb4-6251-4fde-8d91-98c33393237e,Olympen Svea Torn grundskola,"Olympen grundskola, Jungfrugatan / Olympen Svea torn/Stadion / Olympen grundskola Svea torn",,,,Jungfrugatan 51-53 samt Löjtnantsgatan 25,,,,"Fristående grundskola åk 1-9

Tidigare enbart förskola men from ht 2007 även skola; benämnd Olympen AB skola & förskolor.
I katalog 2009 benämnd Olympen Svea torn/Stadion, 2010 som Olympen grundskola, Jungfrugatan; 2011 som Olympen grundskola Svea torn.
I katalog 2015 som Olympen Svea Torn grundskola.

Saknas i lista över grundskolor 2016 - upphörd?"
791,Visa/pahlmans-entreprenorsgymnasium-peg-/38fecc36-3923-4e4f-9a23-98d2db201617,Påhlmans EntreprenörsGymnasium (P.E.G.) ??,,,,,Vårberg,,,,"Fristående gymnasieskola

Öppnas ht 2002 i Vårberg. Samhällsvetenskapliga programmets ekonomiska inriktning med profil: entreprenörsskap.
Ej senare sedd i kataloger - aldrig öppnat?"
792,Visa/atlas-resursskola/132fe50d-b76e-46ce-b977-98d64ef584ea,Atlas resursskola,,,,,Gråhundsvägen 82,,,,"Specialskola: Grundskola åk 7-9

Ursprungligen en del av Sunnan  resursskola - se d:o. 
Egen enhet from vt 2004.
Vänder sig till elever inom särskolans målgrupp. 
Nedlagd efter vt 2008. 

Verksamheten i fd Tallis resursskolas lokaler. 
Högdalsgruppen (Sköndalsgrupperna) i lokalerna from ht 2008 - 
se Övriga S:t Örjangrupper."
793,Visa/nikolai-folkskola/678aca2d-3a71-4159-9a42-98db1f7182b9,Nikolai folkskola,Storkyrkans folkskola,,,,Skärgårdsgatan 6 (numera Själagårdsgatan),,,,"Folkskola

1847 Folkskola, med Storkyrkoförsamlingens fri- och fattigskola inkorporerad tom 1862 då denna upphörde - se vidare d:o.
1847-1864 var Kraftska skolan sammanslagen med folkskolan - 
se vidare Kraftska skolan.
Äldsta delen av byggnaden från 1767, påbyggd 1800, ombyggd 1863 och 1867.
Även hyrda lokaler på Skärgårdsgatan 15, Tyska Prästgatan 52, Stora Nygatan 19 och Svartmangatan 20 på 1860-talet.
Enl. Ferlin 1859: Folkskolan utgjordes av:
1. Förberedande avdelningen (fd Ordningsnämndens skolor för resp. flickor och pojkar), 
2. Gosskolans lägre avdelning, 
3. Flickskolans läseavdelning (fd Fri- och Fattigskolan för flickor) samt handarbetsavdelning (fd Syskolan för fattiga flickor), 
4. Gosskolans högre avdelning (förenade fd Fri- och Fattigskolan för gossar och fd Kraftiska Friskolan för borgarsöner); allt i byggnaden Skärgårdsgatan 6.

1874 inköptes fastighet på Svartmangatan 22 som ombyggdes och stod klar 1882. Folkskolan disponerade även rum i fd Ehrenstralska huset på Svartmangatan 20.
1889 började skolköksundervisning för flickor (första skolan i Stockholm) i skolhuset vid Själagårdsgatan 6 med koppling till den samtidigt införda matbespisningen för fattiga barn. 
(Först 1912 frikopplades skolköksundervisning och matbespisning).
1891 tillkom stadens första skolbad i skolhuset Svartmansgatan 22.
1932 uppfördes en ny skolbyggnad varvid undervisningen på Själagårdsgatan upphörde. 
Se vidare Storkyrkoskolan samt Storkyrkoförsamlingens fri- och fattigskola."
794,Visa/bagarmossens-skola/3f6712b7-ce4f-4095-8ba9-994011e48607,Bagarmossens skola,"(Bagarmossens skolas grundsärskola)
Bagarmossen Brotorps skolor",,,,Emågatan 13,,,,"Folkskola, Inbyggd realskola,  Enhetsskola, Grundskola åk 1-9, Grundsärskola

Huvudskola i Bagarmossen öd/ro 1954-1991. Egen enhet 1992.
Tillhörde Hammarby Sdn from 1997-1998, Skarpnäcks Sdn 1999-vt 2007.
Betecknas 2012 som Bagarmossens skola inom enheten Bagarmossen Brotorp, 2014 anges Bagarmossens skola (Enheten Bagarmossen Brotorp), 2015 åter enbart Bagarmossens skola och 2018 Bagarmossen Brotorps skolor.

Provisorier mm: Lokaler på Bergsrådsvägen och Fogdevägen i slutet av 1950-talet. Paviljong på Kärrtorpsvägen 95  1956. 
1998 tillkom: Byskolan - Byälvsvägen 30, Älvan - Emågatan 11, Lågan - Lagavägen 1-5 samt ett nybygge på skolgården.

Med grundsärskola (åtm. från ht 2009) - Bagarmossens skolas grundsärskola."
795,Visa/grimstaskolan/5c6e9cce-88bd-4325-82a9-994896153f3e,Grimstaskolan,,,,,Kanngjutargränd 12,,,,"Folkskola, Inbyggd realskola, Enhetsskola, Grundskola åk1-9

Egen enhet 1991. Tillhörde Vällingby Sdn 1997-vt 2007.

Provisorier:
Skattegårdsvägen 49-55, Vittangigatan 41 och Trappan på 1950-talet. 
Tre paviljonger 1960, nedlagda 1976."
796,Visa/blomstermalaskolan/837281e4-19dc-4009-b239-998d9cfc5e53,Blomstermålaskolan,Centralträdgården,,,,Frislandsvägen 3,,,,"Grundskola åk 1-3 samt 6-årsverksamhet

Enhet Norra Ängby/Blomstermåla 1992- . Tillhör Bromma Sdn from 1997.

Fd skolträdgård (Centralträdgården). Paviljong 1969."
797,Visa/vasa-tekniska-fackskola/784a5861-47a9-41a2-a3c1-99b690313917,Vasa tekniska fackskola,Tekniska fackskolan / (Vasa tekniska gymnasium),,,,Karlbergsvägen 15,,,,"Teknisk fackskola

1964 inrättades på prov en 2-årig teknisk fackskola (och 1966 Vasa tekniska gymnasium?) som samtidigt innehöll den Tekniska realskolan vilken avvecklades till 1/7 1967.
1967 bytte skolan namn till Vasa gymnasium - se vidare d:o.

Namn:
   enl. tryckta matriklar --
1964-1965  Vasa tekniska fackskola
1965-1966  Vasa tekniska fackskola / Tekniska realskolan
1966-1967  Vasa tekniska gymnasium, fackskola och Tekniska realskolan
   enl. tryckta skolkataloger --
1964-1966 Vasa tekniska fackskola och Stockholms stads tekniska realskola
för 1966-1967 saknas uppgift
   enl. Inledning till arkivförteckning författad av rektor --
1964-1967 Vasa tekniska fackskola med Stockholms stads tekniska realskola
1967-         Vasa gymnasium

Förbistring råder alltså om skolans officiella namn 1966/67 men enl. fd anställda skall skolan aldrig ha kallats/hetat Vasa tekniska gymnasium."
798,Visa/hagsatra-gymnasium/9b58fa7a-e716-450d-aac9-99b9d4c2c017,Hagsätra gymnasium,Hagsätra läroverk / Kommunala försöksgymnasiet i Hagsätra,,,,Glanshammarsgatan 11-15,,,,"Gymnasium, Grundskola åk 7-9  1963-1974

Namn:
1963-1964 Högalids samrealskola och Hagsätra läroverk (annex till Högalid detta första läsår)
1964-1966 Hagsätra läroverk (kommunalt försöksgymnasium)
1967-1975 Hagsätra gymnasium

Nedlagd 1975. Lokalerna övertagna av Hagsätraskolans högstadium."
799,Visa/hjorthagens-gamla-skola/d4e68c46-b54d-4218-9b86-99bb29289793,Hjorthagens gamla skola,Värtans folkskola,,,,Jägmästargatan 2B,,,,"Folkskola, Grundskola
Se även Hjorthagens skola.

Hette från början Värtans folkskola. Namnändrades till Hjorthagens folkskola 1942 (Hjorthagens gamla skola), nedlagd 1962. Ombyggd till skoldaghem 1966. Detta flyttades till Bromma 1992 (se Bromma skoldaghem).

Lokalerna används av Gerlesborgsskolan (konstnärsutbildning)."
800,Visa/forskola-arskurs/8ac4d534-0e8d-4881-b04b-99c844f6a84b,"Förskola, Årskurs",,,,,,,,,"Först som sexårsverksamhet
Senare som förskola.
(Undervisning för barn i 6-årsåldern året innan lågstadiets åk 1).

Beteckningar åk 0 och sedan F
Numera anges årskursbeteckningarna F-3, F-6 osv.
I skolregistret har dessa ändringar inte införts utan här står fortfarande åk1-3, 1-6 osv.

Förkortningen för ordet årskurs har ändrats från åk till år.
I skuldregistret har ingen ändring dock gjorts.

Skolor med enbart förskoleklasser saknas i skolregistret.

(feb 2016)"
801,Visa/akallaskolan/84df8ca0-040e-4e2c-9fb2-99cf87d17a08,Akallaskolan,,,,,Helsingforsgatan 10,,,,"Grundskola åk7-9

Huvudskola i Akalla ro 1976-1991. Egen skolenhet 1991.
Tillhörde Kista Sdn 1997-vt 2007.

I katalog 2011 upptas Stenhagsskolan som Stenhag/Akallaskolan; blivit annex under Akalla?

Sammanslagen med Stenhagsskolan till Akalla grundskola 2013 - se d:o."
802,Visa/gransknings--och-examensnamnden-i-stockholm/7e7aede8-92fe-4e7b-9550-99d8096e2e71,Gransknings- och examensnämnden i Stockholm,Examens- och granskningsnämnden,,,,,,,,"1914 inrättades gransknings- och examensnämnder för studentexamen och 1946 för realexamen.
Nämnderna för studentexamen var placerade vid Norra Latin tom vt 1955 och därefter vid Östra Real ht 1955 - vt 1967.
Nämnderna för realexamen var placerade vid Vasa realskola tom ht 1956 och sedan vid Norra Real vt 1957 - ht 1963."
803,Visa/gubbangens-gymnasium/9c034de5-92ad-400f-b7ec-9a1c3d8f1094,Gubbängens gymnasium,Högre allmänna läroverket i Gubbängen / Samrealskolan i Gubbängen / Samrealskolan och kommunala gymnasiet i Gubbängen / Högre allmänna läroverket och kommunala gymnasiet i Gubbängen,,,,"1950-1954 Fagersjövägen
1954-1984 Lingvägen 123 (1954-1966 enbart Lingvägen utan nr)",,,,"Realskola, Gymnasium.   Försöksskola, Enhetsskola & Grundskola 
åk 7-9  1959-1976.

Namn:
1950-1954 Samrealskolan i Gubbängen
1954-1959 Samrealskolan och kommunala gymnasiet i Gubbängen
1959-1961 Högre allmänna läroverket och kommunala gymnasiet i Gubbängen
1961-1966 Högre allmänna läroverket i Gubbängen ( kommunaliserades 1966 och namnändrades till - -)
1967-1984 Gubbängens gymnasium

Nedlagt 1984. Fastigheten överlåten till landstinget som där öppnade Gubbängens vårdsgymnasium, se d:o.
Två-årig vårdlinje (i Farsta gymnasium), kopior avgångsbetyg ht 1984 (i Gubbängens arkiv B 2:5)."
804,Visa/hamnskolans-hogstadium/3f6c27c2-564d-44ad-a4a8-9a3facb82d64,Hamnskolans högstadium,"Hamnskolan, Pysslingens Skolor - Hamnskolan",,,,Vintertullstorget 2,,,,"Fristående grundskola åk 7-9.
Drivs av Pysslingen, Huvudman AcadeMedia.

Öppnad höstterminen 2021.

Pysslingens Primaskola i Farsta flyttade sitt högstadium till Vintertulltorget 2. Skolan bytte i samband med flytten namn till Hamnskolans högstadium."
805,Visa/boxtorps-skolhems-skola/d812c070-27f3-4334-b29e-9a6b236cbb98,Boxtorps skolhems skola,,,,,Stjärnhov,,,,"Specialskola: Folkskola, Grundskola

Boxtorps pojhems skola 1920-1976, Boxtorps skolhemskola 1976-1995.
Hemmet drevs av Stockholms stadsmission 1920-1965 då barnavårdsnämnden inköpte det och övertog driften. 
1971 tog Stockholms läns landsting över antagning och behandlingsansvar. Skolan under S;t Örjan 1968-1995.
Vt 1995 blev skolan en friskola under namnet Boxtorp AB skol- och familjebehandlingshem men S:t Örjan ""behöll"" skolansvaret även under vt 1995."
806,Visa/sophie-baumgardts-skola/28b64d5f-d585-4582-b6de-9aa1bf69539c,Sophie Baumgardts skola,,,,,"Stortorget 3  1868
Tyska stallplan 1  1871
Slottbacken 6  1879",,,,"Privatskola

Känd 1868 (35 barn), ny adress 1871 (51 barn) samt åter ny adress 1879."
807,Visa/fryshusets-grundskola/6d194f4b-4b8d-4ef3-a3ef-9aa7ad2e4e7b,Fryshusets grundskola,,,,,Mårtensdalsgatan 2-8,,,,"Fristående grundskola åk 6-9

Upptas i katalog 2010.
2015 upptas även Fryshusets grundskola Husby - se Fryshusets grundskola västra."
808,Visa/friluftsskola--friluftsklasser/440f8ec9-5108-48b9-8f31-9ad118ebbafe,Friluftsskola / Friluftsklasser,,,,,,,,,"Svenska nationalföreningen mot tuberkulos öppnade 1914 en sk friluftsskola för tuberkulösa barn i föreningens fastighet vid Vikingagatan 20. Ht 1915 överfördes skolan till Engelbrekts folkskola - se denna.
Friluftsklassser inrättades även vid Eriksdals, Högalids och Midsommarkransens folkskolor.

Eleverna undervisades utomhus året om på takterrasser på skolbyggnaderna. Vintertid användes specialtillverkade kläder mot kylan.
Den friska luften ansågs motverka sjukdomen.

Handlingar rörande friluftsklasser återfins bla i Folkskoledirektionens arkiv (SSA/0569), serie FIVk (delvis sekretesshandlingar)."
809,Visa/sophie-adlersparres-skola/a7f78479-8004-4fde-9f3e-9ad81dec6ee9,Sophie Adlersparres skola,,,,,Klara strandgata 8 1879,,,,"Privatskola

Känd på en adress 1879."
810,Visa/snitz-gymnasium/89370eef-3722-41d9-88ea-9af672389c70,Snitz gymnasium,,,,,"Hagagatan 25A
Norrtullsgatan 6",,,,"Fristående gymnasium.
Specialskola för elever med särskilda behov, t.ex. neuropsykiatriska diagnoser.

Huvudman, Academia.

Skolan startade läsåret 2011/2012.

Gymnasiet ligger i samma byggnad som Snitz grundskola Odenplan.
Två olika adresser har figurerat olika år."
811,Visa/kristofferskolan--kristofferskolans-gymnasium/b08d11d1-49fc-4b3e-9914-9b5edf80d5dc,Kristofferskolan / Kristofferskolans gymnasium.,,,,,"1952 Malmskillnadsgatan 56-58
1959 Karlavägen 25
1967 Marklandsbacken 11",,,,"Privat Waldorfskola åk 1-12. Stats- och kommunalunderstödd. 
Numera fristående grundskola och gymnasieskola åk 1-12.
Huvudman, stiftelsen Kristofferskolan.

Skolan började sin verksamhet 1949 som Sveriges första Waldorfskola.
På nätet 2014 upptas gymnasiedelen under namnet Kristofferskolans gymnasium."
812,Visa/angby-privata-skola/c36b8622-b998-45d1-abd4-9b72bb9fe102,Ängby privata skola,,,,,,,,,Privatskola
813,Visa/katarina-vastra-skola/d85e6f07-b24f-4471-bcc4-9b8aff931ae8,Katarina västra skola,Skolan för bildbara sinnesslöa barn / Katarina västra skola ro  1959-1971 / Stockholms stads skola för bildbara sinnesslöa barn,,,,Katarina västra kyrkogata 10,,,,"Skola för förståndshandikappade elever 1925-1971 ??

Fd Skolan för bildbara sinnesslöa barn, Namnbyte ?? 
Under Folkskoledirektionen from 1954.
Nedlagd 1971. I bygganden Katarina vårdgymnasium 1971-2002 - se d:o.
Byggnaden såld och ombyggd till bostäder 2006-2007.

Externatskola 1959-1971. ??

I byggnaden 1858-1932 Katarina realskola - se d:o."
814,Visa/stockholms-intensivsvenska-for-akademiker/b11752c9-15cb-4061-9e2f-9b8bcd22e706,Stockholms intensivsvenska för akademiker,,,,,S:t Göransgatan 95,,,,"Kommunal vuxenutbildning

Upptas i skolförteckning vt 2008."
815,Visa/bandhagens-gymnasium/2cf0cf8b-0bef-4b07-9df8-9bcee386c738,Bandhagens gymnasium,Bandhagens läroverk / Kommunala gymnasiet i Bandhagen,,,,Trollesundsvägen 15-19,,,,"Gymnasieskola, Fackskola. Försöksskola, Enhetsskola och Grundskola åk 7-9 1959-1971. Vuxengymnasium

1959-1966 Kommunala gymnasiet i Bandhagen (Bandhagens läroverk)
1967-1998 Bandhagens gymnasium

Med vuxengymnasium from 1996. Ungdomsgymnasiet upphörde efter vt 1998, därefter enbart vuxengymnasium - se Bandhagens vuxengymnasium. 

1971 Fordonsteknisk utbildning (admin./org. dock tillhörande Industri- och hantverskskolan, Polhemsgatan).
1987 förläggning av teknisk utbildning (3-årig teknisk påbyggnadsutbildning / ingenjörsutbildning) motsvarande utbildningen vid Stockholms tekniska institut (STI) med samma kursinnehåll - se även STI. (Elever som påbörjat sina studier vid STI överflyttades till Bandhagens gymnasium 1987). Kallades ibland ""STI i Bandhagen"".

STI´s arkiv finns numera på Stadsarkivet (SSA/2804). Observera att i STI´s arkiv finns betygskopior för elever som påbörjat studier vid STI och som sedan fullföljt dessa och tagit igenjörsexamen vid Bandhagens gymn./vuxengymn. ht 1987 - vt 1989.

Se också Bandhagens vuxengymnasium om den tekniska påbyggnadsutbildningens fortsättning.
1988-1992 yrkesprövning på uppdrag av AMS och i samarbete med STI av invandrare med utländsk teknisk examen.
Fortbildning för lärare från S:t Eriks gymnasium 1995-1996.

Källor:
Historik i Arkivförteckning över Bandhagens gymnasium/vuxengymnasium."
816,Visa/satra-vuxengymnasium/119e2e0d-85ad-4dad-98cf-9be00839dc6f,Sätra vuxengymnasium,,,,,,,,,"Vuxengymnasium

Sätra vuxengymnasium -  Bogsätravägen 22  1970-1974, annex till Maria vuxengymnasium - se d:o."
817,Visa/eu-it-gymnasiet-hokarangen--eu-it-gymnasiet-liljeholmen--eu-it-gymnasiet-danderyd--eu-it/f411a5fb-536c-41e0-805a-9c4f67f29e50,EU IT-gymnasiet Hökarängen / EU IT-gymnasiet Liljeholmen / EU IT-gymnasiet Danderyd / EU IT,,,,,,,,,se Edicon . . .
818,Visa/stockholms-fastighetsskola/dc4090bc-f249-4a41-9d88-9cd8017cd817,Stockholms fastighetsskola,,,,,Kungsholmsgatan 72,,,,"Privatskola, Utbildningsinstitution

Privatskola,  grundad 1943 av Georg Manfred Settelby (1896-1983).
Kommunaliserad 1965 som del av Stockholms stads handelsskola - se vidare denna !

Fastighetsmäklarkurs överfördes fr. Fridhemsplans vuxengymnasium till Åsö vuxengymnasium 1987 och upphörde 1990."
819,Visa/st-gorans-gymnasium/f928dbc6-596a-4dc1-9dd4-9ce755957261,S:t Görans gymnasium,,,,,S:t Göransgatan 95,,,,"Gymnasium. Vuxengymnasium. Kommunal högskola. Lärlingsutbildning, Gymnasiesärskola

1971 bildas S:t Görans gymnasium genom att Hushålls- och sömnadsskolan blir gymnasieskola och namnändras. 
För tiden före 1971 - se Hushålls- och sömnadsskolan.
Kommunal högskoleutbildning 1977-1979 - Internatföreståndarlinjen (se vidare under Kommunal högskola).
Med vuxenutbilning redan from 1970-talet. S:t Görans vuxengymnasium 1983 - 1986 - se d:o. Åter vuxengymnasium (1996-)1997-2002.
Kunskapslyftet 1997-2001.
Omvårdnadsutbildning from ht 2002 (""överförd"" från nedlagda Katarina västra vårdgymnasium).
Gymnasiet nedlagt efter vt 2008.

Med gymnasiesärskola 2006-2008. (Enligt inledningen till arkivförteckningen kom gymnasiesärskolan redan 1997 från Tensta gymnasium).

För detaljer om skolbyggnaden, dess inredning mm - se inledningen till arkivförteckningen. Här finns också en lista över förkortningar över utbildningar mm som förekommit vid skolan."
820,Visa/kateketskola--katekesskola/cb7f5c0e-e9b3-4111-a49c-9d179db10e53,Kateketskola / Katekesskola,,,,,,,,,"Skolform

Skola för äldre barn som arbetade på fabrik eller inom hantverk samt för personer över 15 år med bristande utbildning eller som helt saknade utbildning. 
Undervisning på söndagseftermiddagarna i stavning, innantillläsning och Luthers lilla katekes (kristendomsundervisning).

Den första kateketskolan öppnades 1776 i Maria församling (en annan uppgift anger 1784 som förstaår). Fanns i ett flertal församlingar i Stockholm.
Skolformen avskaffad 1883."
821,Visa/ceciliaskolan/571d363f-e352-4ccc-9089-9d222b96b484,Ceciliaskolan,Ebba Simplers skola / Simplers skola / Augusta Simpler,,,,,,,,"Privatskola

1863 Mamsell Simplers skola
1868-1893 Regeringsgatan 48 (Augusta Maria Simpler)
1879 Ålandsgatan 16"
822,Visa/jarva-resursskola/78542bb9-cbd7-4258-8409-9d3a9b934186,Järva resursskola,,,,,Hjulstastråket 15,,,,"Fristående resursskola åk 1-4

Tidigare Tensta resursskola (se d:o), friskola from ht 2002 under namnet Järva resursskola.
Upptas ej i katalog 2009. Nedlagd?"
